mask_start,mask_end
2024-07-12 11:41:30.692388352Z,2024-07-12 11:42:00.209415Z
2024-07-12 11:41:59.425Z,2024-07-12 11:42:00.123Z
2024-07-12 11:42:19.313686Z,2024-07-12 11:42:20.176216Z
2024-07-12 11:42:27.438Z,2024-07-12 11:42:31.251Z
2024-07-12 11:42:37.754Z,2024-07-12 11:42:39.404Z
2024-07-12 11:43:28.034705Z,2024-07-12 11:43:29.029286Z
2024-07-12 11:43:34.050221Z,2024-07-12 11:43:34.537991Z
2024-07-12 11:43:40.773324Z,2024-07-12 11:43:41.193492Z
2024-07-12 11:43:42.473247Z,2024-07-12 11:43:43.260954Z
2024-07-12 11:43:53.005133Z,2024-07-12 11:43:53.612814Z
2024-07-12 11:43:53.736896Z,2024-07-12 11:43:54.163695Z
2024-07-12 11:43:55.315518Z,2024-07-12 11:43:55.766920Z
2024-07-12 11:43:56.415569Z,2024-07-12 11:43:57.939959Z
2024-07-12 11:43:58.996902Z,2024-07-12 11:43:59.548532Z
2024-07-12 11:44:04.808324Z,2024-07-12 11:44:05.106669Z
2024-07-12 11:44:05.233765Z,2024-07-12 11:44:05.538626Z
2024-07-12 11:44:05.927869Z,2024-07-12 11:44:06.272200Z
2024-07-12 11:44:06.187658Z,2024-07-12 11:44:09.689940Z
2024-07-12 11:44:11.689740Z,2024-07-12 11:44:13.456619Z
2024-07-12 11:44:23.721634Z,2024-07-12 11:44:24.222459Z
